station_id,time,num_bikes_available,name,lat,lon,hour
92,2022-05-14T07:18:25Z,5,8th & H St NW,38.8997,-77.023086,7
99,2022-05-14T07:18:25Z,11,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,7
103,2022-05-14T07:18:25Z,32,Metro Center / 12th & G St NW,38.898364,-77.027869,7
105,2022-05-14T07:18:25Z,4,7th & F St NW / National Portrait Gallery,38.8972830485385,-77.0221906900406,7
106,2022-05-14T07:18:25Z,10,17th & K St NW / Farragut Square,38.902061,-77.038322,7
113,2022-05-14T07:18:25Z,13,Columbus Circle / Union Station,38.89696,-77.00493,7
124,2022-05-14T07:18:25Z,11,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,7
144,2022-05-14T07:18:25Z,12,3rd & G St SE,38.881185,-77.001828,7
148,2022-05-14T07:18:25Z,17,Columbia Rd & Georgia Ave NW,38.928121111321,-77.0237946510315,7
159,2022-05-14T07:18:25Z,13,10th & K St NW,38.9024,-77.02622,7
169,2022-05-14T07:18:25Z,6,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888767,-77.02858,7
207,2022-05-14T07:18:25Z,8,5th St & Massachusetts Ave NW,38.90093,-77.018677,7
210,2022-05-14T07:18:25Z,14,3rd & M St NE,38.9054697149433,-77.0021304488182,7
242,2022-05-14T07:18:25Z,10,12th & U St NW,38.916787,-77.028139,7
369,2022-05-14T07:18:25Z,18,2nd & G St NE,38.89967,-77.003666,7
370,2022-05-14T07:18:25Z,15,8th & O St NW,38.90864,-77.02277,7
391,2022-05-14T07:18:25Z,13,1st & O St NW,38.908643,-77.012365,7
408,2022-05-14T07:18:25Z,10,4th St & Madison Dr NW,38.890493,-77.017253,7
418,2022-05-14T07:18:25Z,9,14th & Irving St NW,38.928552,-77.032224,7
484,2022-05-14T07:18:25Z,16,11th & Girard St NW,38.925636,-77.027112,7
485,2022-05-14T07:18:25Z,8,Connecticut Ave & R St NW,38.912644,-77.04564,7
15,2022-05-14T08:18:35Z,2,14th & V St NW,38.917931,-77.032112,8
21,2022-05-14T08:18:35Z,17,Lamont & Mt Pleasant NW,38.9319,-77.0388,8
22,2022-05-14T08:18:35Z,14,4th & M St SW,38.8767,-77.0178,8
51,2022-05-14T08:18:35Z,18,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,8
92,2022-05-14T08:18:35Z,4,8th & H St NW,38.8997,-77.023086,8
99,2022-05-14T08:18:35Z,11,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,8
103,2022-05-14T08:18:35Z,32,Metro Center / 12th & G St NW,38.898364,-77.027869,8
105,2022-05-14T08:18:35Z,3,7th & F St NW / National Portrait Gallery,38.8972830485385,-77.0221906900406,8
106,2022-05-14T08:18:35Z,10,17th & K St NW / Farragut Square,38.902061,-77.038322,8
113,2022-05-14T08:18:35Z,13,Columbus Circle / Union Station,38.89696,-77.00493,8
124,2022-05-14T08:18:35Z,11,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,8
144,2022-05-14T08:18:35Z,12,3rd & G St SE,38.881185,-77.001828,8
148,2022-05-14T08:18:35Z,18,Columbia Rd & Georgia Ave NW,38.928121111321,-77.0237946510315,8
159,2022-05-14T08:18:35Z,13,10th & K St NW,38.9024,-77.02622,8
